x	y	Centroid
18.75	22.95	2
21.45	21.45	3
20.5	22.85	3
20.65	24.3	3
21.7	23.8	3
23.1	21.7	3
13.35	28.45	2
12.4	27.85	2
12.2	28.65	2
12.9	26.5	2
11.15	28.7	2
10.5	28.35	2
10.25	27.25	2
12.6	24.05	2
10.05	25.95	2
8.5	27.05	2
7.55	26.3	2
9.4	25.55	2
10.55	24.35	2
5.4	25.25	2
4.3	24	2
6.1	22.6	2
6.4	21.95	2
8.45	17.2	2
12.3	22.75	2
9.95	19.8	2
12	20	2
11.4	19.25	2
15.2	18.2	2
31.9	4.4	4
32.8	6	4
35.45	4.1	4
32.3	7.65	4
31.8	9.45	4
34.7	8	4
34.55	8.85	4
31.2	12	4
33.1	12.75	4
35.8	11.55	4
34.05	13.05	4
11.05	9.1	1
14.3	12.45	1
14.45	10.75	1
12.35	8.45	1
12.4	7.1	1
15.1	10.25	1
16.75	11.5	1
15.05	7.8	1
10.6	5.05	1
13.9	5.3	1
12.75	3	1
15.15	7.1	1
15.25	2.7	1
15.7	6.35	1
17.3	4.8	1
18.15	1.95	1
20.45	2.8	1
18.65	4.75	1
16.6	7.95	1
20.8	4.7	1
20.55	5.75	1
17.5	8.25	1
18	8.55	1
20.05	6.95	1
24.15	4.55	1
20	8.2	1
16.95	10.35	1
19	11.65	1
20.7	10.65	1
20.95	10.2	1
21.75	8.2	1
23	7.35	1
23.7	8.85	1
5.15	3.45	1
4.95	4.05	1
7.1	4.3	1
8.5	3.25	1
32.45	16.75	3
30.55	18.8	3
31.55	19.65	3
33.7	17	3
31.75	20.25	3
31.55	22.2	3
30.95	24.15	3
33.65	21.9	3
33.8	20.4	3
36.35	20.6	3
34.6	22.05	3
34.9	23.5	3
33.6	23.9	3
33.7	24.85	3
30.25	24.3	3
31.25	27.85	3
33.85	26.05	3
34.65	26.85	3
9.7	12.1	1
5.7	12.25	2
7.85	11.85	1
7.65	11.1	1
8.3	10.55	1
